Label,Furniture_Type,Image_File
furniture set ,Other,1634011558853.jpg
bed room set ,Bed / bedroom item,1634011559093.jpg
6by6 teak box bed with hybrids mattress ,Bed / bedroom item,1634011559259.jpg
new spring mattress ,Bed / bedroom item,1634011559590.jpg
exclusive 6 by teak box bed with spring mattress ,Bed / bedroom item,1634011559751.jpg
tv stand ,TV / stereo,1634011559907.jpg
exclusive 6 by 5 teak box bed with spring mattress ,Bed / bedroom item,1634011560082.jpg
new phoenix 6 pc drawer set ,Storage,1634011560266.jpg
exclusive 6 by teak box bed ,Bed / bedroom item,1634011560797.jpg
tv stand ,TV / stereo,1634011561104.jpg
coffee table ,Table / chair,1634011561290.jpg
teek box bed 6by4 ,Bed / bedroom item,1634011561486.jpg
6by6 teak box bed with mattress piyestra ,Bed / bedroom item,1634011561656.jpg
tv stand ,TV / stereo,1634011561826.jpg
new 2d cupboards ,Bed / bedroom item,1634011562224.jpg
tv stand ,TV / stereo,1634011562400.jpg
table ,Table / chair,1634011562601.jpg
6 by 5 teak box bed with mattress piyestra ,Bed / bedroom item,1634011562765.jpg
damro sofa set ,Sofa / living room item,1634011562917.jpg
tv stand ,TV / stereo,1634011563066.jpg
tv stand ,TV / stereo,1634011563296.jpg
tv stand ,TV / stereo,1634011563463.jpg
new office cupboard 4 x 3 ,Storage,1634011563649.jpg
new steel office cupboard ,Storage,1634011563799.jpg
tv stand ,TV / stereo,1634011563959.jpg
tv stand ,TV / stereo,1634011564138.jpg
new steel office cupboard glass ,Storage,1634011564289.jpg
steel single bed/à¶ºà¶à¶© à¶à¶¯à¶±à·.. 6*2.5 ,Bed / bedroom item,1634011779654.jpg
edh001 executive high back office chair ,Table / chair,1634011779918.jpg
tv stand ,TV / stereo,1634011780105.jpg
plywood doors ,Other,1634011821345.jpg
72*30 double layer mattress ,Bed / bedroom item,1634011821533.jpg
new office cupboard 4 x 3 a ,Storage,1634011822274.jpg
teak dining table with 6 chairs ,Table / chair,1634011822469.jpg
wooden sofa set ,Sofa / living room item,1634011822649.jpg
3d premium wardrobe ,Bed / bedroom item,1634011822823.jpg
table ,Table / chair,1634011822994.jpg
branded 4x2 office tables ,Table / chair,1634011823135.jpg
double layer mattress ,Bed / bedroom item,1634011823310.jpg
attonia bed ,Bed / bedroom item,1634011823490.jpg
study table 3.5ã2ft ,Table / chair,1634011823679.jpg
new teak dressing table ,Bed / bedroom item,1634011823883.jpg
relaxing chair ,Table / chair,1634011824038.jpg
brand new office tables ,Table / chair,1634011824246.jpg
piyestra/arpico flexifoam spring mattresses ,Bed / bedroom item,1634011824445.jpg
banquet chair cover white ,Table / chair,1634011824604.jpg
brand new study/writing tables ,Table / chair,1634011824759.jpg
table mahogani ,Table / chair,1634011824922.jpg
steel cupboard ( 6x5 ) ,Bed / bedroom item,1634011825071.jpg
teak dressing table ,Bed / bedroom item,1634011825231.jpg
melamine cupboard ,Bed / bedroom item,1634011825400.jpg
piyestra deluxe leather chair ,Table / chair,1634011825590.jpg
piyestra white touch luxerious 3 d wardrobe ,Bed / bedroom item,1634011825787.jpg
6ã5/6ã6 teak arch bed ,Bed / bedroom item,1634011825951.jpg
piyestra 72x48x8â spring mattress ,Bed / bedroom item,1634011826165.jpg
pinewood table ,Table / chair,1634011855723.jpg
piyeste coolfoam mattresess ,Bed / bedroom item,1634011856395.jpg
teak box dressing table with side stool ,Bed / bedroom item,1634011856600.jpg
new 6x5 teak modern box neds ,Bed / bedroom item,1634011856760.jpg
teak box three door wardrobe ,Bed / bedroom item,1634011856951.jpg
bed- iron 36ã72 ,Bed / bedroom item,1634011857112.jpg
new classic 6x3 steel almare ,Bed / bedroom item,1634011857338.jpg
piyestra glass coffee tabel ,Sofa / living room item,1634011857519.jpg
new l/rack 4x2 l study table ,Table / chair,1634011857692.jpg
new arrive l sofa set 8 x8 -nas-016 ,Sofa / living room item,1634011857884.jpg
brand new 4x2 ezy tables ,Table / chair,1634011858147.jpg
new arrive sofa set -3+2+1 -nas-017 ,Sofa / living room item,1634011858311.jpg
piyestea cashier high chair(armless) ,Table / chair,1634011858504.jpg
piyestra 3d dark classic wardrobe ,Bed / bedroom item,1634011858734.jpg
new arrive sofa set 3+1+1 -nas-015 ,Sofa / living room item,1634011858910.jpg
piyestra amazing 3d wardrobe ,Bed / bedroom item,1634011859085.jpg
new arrive sofa set 3+1+1 - nas-014 ,Sofa / living room item,1634011859288.jpg
new arrive sofa set 3+1+1 -nas-013 ,Sofa / living room item,1634011859449.jpg
spring mattress ,Bed / bedroom item,1634011859654.jpg
imported round glass table ,Table / chair,1634011859840.jpg
new arrive sofa set 3+1+1 -nas-102 ,Sofa / living room item,1634011859974.jpg
à¶­à¶§à·à¶§à· à¶¯à·à¶à· à¶à¶¯à¶±à· ,Bed / bedroom item,1634011860134.jpg
table 3*2 ,Table / chair,1634011860322.jpg
new 36x18â writting table ,Table / chair,1634011860499.jpg
two sofa set ,Sofa / living room item,1634011895232.jpg
double layer 6*3 mattress ,Bed / bedroom item,1634011895581.jpg
nilkamal 4 chairs with round table ,Table / chair,1634011895748.jpg
3x2 office table - new 012 ,Table / chair,1634011895941.jpg
new office table melamine 4x2 ,Table / chair,1634011896091.jpg
actoniya beds 6*3 ,Bed / bedroom item,1634011896272.jpg
modern melamine dressing table code 3071 ,Bed / bedroom item,1634011896464.jpg
adjustable h/b office chair- new ,Table / chair,1634011896724.jpg
6x5 ft spring matterss and box bed code 3070 ,Bed / bedroom item,1634011896912.jpg
executive high back office chairs ,Table / chair,1634011897105.jpg
"teak box beds with piyestra spring mattress 72x72"" ",Bed / bedroom item,1634011897275.jpg
2 doors melamine cupboard 6x3 ft code 3061 ,Bed / bedroom item,1634011897489.jpg
"72x48"" box bed with arpico spring mattress ",Bed / bedroom item,1634011897654.jpg
teak box beds with arpico spring mattress 6x5' ,Bed / bedroom item,1634011897825.jpg
super teak new arch shep bed ,Bed / bedroom item,1634011898011.jpg
modern teak box bed with mattress 6x6' ,Bed / bedroom item,1634011898159.jpg
piyestra premium office cupboards ,Storage,1634011898379.jpg
high back office chair - hb-101 ,Table / chair,1634011898575.jpg
super teak wood arch bed with king star double layer mattresses ,Bed / bedroom item,1634011898948.jpg
imported uncommon display rack ,Sofa / living room item,1634011899288.jpg
image new rk computer table ,Table / chair,1634011899513.jpg
piyestra 4d multi premium cupboards ,Sofa / living room item,1634011899675.jpg
modern melamine tv stand code 3075 ,Table / chair,1634011899890.jpg
office executive chair- h-0823 ,Table / chair,1634011900080.jpg
new 4x2 d/drawer office tabel ,Table / chair,1634011900255.jpg
wardrobe - teak color ,Bed / bedroom item,1634011933861.jpg
steel bed ,Bed / bedroom item,1634011934026.jpg
teak box bed 6x6' without mattress ,Bed / bedroom item,1634011934188.jpg
teak table with 4 chairs ,Table / chair,1634011934431.jpg
teak dinning table 8 seats ,Sofa / living room item,1634011934603.jpg
tv stand ,TV / stereo,1634011934758.jpg
portable 8 door storage wardrobe ,Storage,1634011934918.jpg
teak table ,Table / chair,1634011935076.jpg
6x4 ft bed/mattress and pillow bed rooms pakege code 3059 ,Bed / bedroom item,1634011935222.jpg
actonia bed 6x4 ft double code 3058 ,Bed / bedroom item,1634011935400.jpg
teakwood dressing table code 3057 ,Bed / bedroom item,1634011935557.jpg
neo almari glass 2d 15 bord code 3056 ,Bed / bedroom item,1634011935745.jpg
1st quality teakwood sofa set code 3055 ,Sofa / living room item,1634011935925.jpg
no1 quality teakwood sofa set code 3054 ,Sofa / living room item,1634011936116.jpg
n1 piyestra original cupboard code 3052 ,Bed / bedroom item,1634011936303.jpg
6x3 ft underlocker 2 melamine cupboard code 3051 ,Bed / bedroom item,1634011936490.jpg
6x3 ft melamine cupboard (fully doors) code 3050 ,Bed / bedroom item,1634011936640.jpg
dining table with chairs ,Table / chair,1634011936797.jpg
italy chairs ,Table / chair,1634011936987.jpg
aluminium doors ,Other,1634011937183.jpg
dorawal ,Other,1634011937342.jpg
awana sectional sofa - beige base and green cushions ,Sofa / living room item,1634011937500.jpg
mahogani door ,Other,1634011937701.jpg
3 steel dining table chairs ,Table / chair,1634011937875.jpg
3 wooden chairs with woven seat ,Sofa / living room item,1634011938075.jpg
3 piece kaluwara sofa set ,Sofa / living room item,1634011938249.jpg
3 seater with 2 single ,Table / chair,1634011938414.jpg
double layer 6*3 mattress ,Bed / bedroom item,1634012031356.jpg
table 3*2 ,Table / chair,1634012031494.jpg
teak cabinet ,Storage,1634012032232.jpg
4 solid teak veranda chair ,Table / chair,1634012032434.jpg
used display cabinet ,Storage,1634012032589.jpg
dining table ,Table / chair,1634012032759.jpg
teak bed 60*75 (5*6) ,Bed / bedroom item,1634012032953.jpg
used sofa set ,Sofa / living room item,1634012033179.jpg
teak sofa set ,Table / chair,1634012033376.jpg
aktoniya double box bed 48*72(4*6) ,Bed / bedroom item,1634012033540.jpg
used teak dinning chairs and plastic ,Table / chair,1634012033739.jpg
coffee table ,Table / chair,1634012033939.jpg
sofa set ,Sofa / living room item,1634012034093.jpg
mattress topper ,Bed / bedroom item,1634012034257.jpg
king size bed ,Bed / bedroom item,1634012034425.jpg
antic house furniture's ,Antique / art,1634012034613.jpg
